"af_name","atmp_name","atmp_code","atmp_version","atmp_status","atmp_is_active"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","1","DRAFT","Y"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","1","DRAFT","Y"
"governr Position Third Party AI Risk Framework","governr Position Third Party Agent Risk Assessment","GOVR-TP-AGENT-RISK","1","DRAFT","Y"
"governr Position Third Party AI Risk Framework","governr Position Third Party Dataset Risk Assessment","GOVR-TP-DATASET-RISK","1","DRAFT","Y"
"governr Position Third Party AI Risk Framework","governr Position Third Party API Risk Assessment","GOVR-TP-API-RISK","1","DRAFT","Y"
"governr Position Third Party AI Risk Framework","governr Position Third Party MCP Server Risk Assessment","GOVR-TP-MCP-RISK","1","DRAFT","Y"
